YEAR,MONTH,QTY_DEMANDED,QTY_SUPPLIED,,,,,,,,,,,
1999,January,162,136,,,,,,,,,,,
1999,February,188,202,,,,,,,,,,,
1999,March,229,225,,,,,,,,,,,
1999,April,220,204,,,,,,,,,,,
1999,May,252,251,,,,,,,,,,,
1999,June,322,353,,,,,,,,,,,
1999,July,320,261,,,,,,,,,,,
1999,August,340,274,,,,,,,,,,,
1999,September,247,283,,,,,,,,,,,
1999,October,325,329,,,,,,,,,,,
1999,November,342,221,,,,,,,,,,,
1999,December,291,273,,,,,,,,,,,
2000,January,247,342,,,,,,,,,,,
2000,February,225,220,,,,,,,,,,,
2000,March,273,271,,,,,,,,,,,
2000,April,264,372,,,,,,,,,,,
2000,May,303,307,,,,,,,,,,,
2000,June,303,321,,,,,,,,,,,
2000,July,345,356,,,,,,,,,,,
2000,August,338,360,,,,,,,,,,,
2000,September,340,267,,,,,,,,,,,
2000,October,304,389,,,,,,,,,,,
2000,November,244,271,,,,,,,,,,,
2000,December,184,223,,,,,,,,,,,
2001,January,181,391,,,,,,,,,,,
2001,February,308,357,,,,,,,,,,,
2001,March,310,460,,,,,,,,,,,
2001,April,316,480,,,,,,,,,,,
2001,May,316,509,,,,,,,,,,,
2001,June,355,315,,,,,,,,,,,
2001,July,307,425,,,,,,,,,,,
2001,August,251,367,,,,,,,,,,,
2001,September,348,455,,,,,,,,,,,
2001,October,326,491,,,,,,,,,,,
2001,November,369,434,,,,,,,,,,,
2001,December,330,450,,,,,,,,,,,
2002,January,264,394,,,,,,,,,,,
2002,February,270,340,,,,,,,,,,,
2002,March,338,475,,,,,,,,,,,
2002,April,368,511,,,,,,,,,,,
2002,May,360,512,,,,,,,,,,,
2002,June,324,626,,,,,,,,,,,
2002,July,340,506,,,,,,,,,,,
2002,August,330,502,,,,,,,,,,,
2002,September,300,501,,,,,,,,,,,
2002,October,300,462,,,,,,,,2004,January,450,636
2002,November,300,517,,,,,,,,2004,February,489,499
2002,December,203,441,,,,,,,,2004,March,392,540
2003,January,203,575,,,,,,,,2004,April,382,479
2003,February,372,438,,,,,,,,2004,May,309,450
2003,March,1221,438,,,,,,,,2004,June,358,330
2003,April,1221,543,,,,,,,,2004,July,450,636
2003,May,464,559,,,,,,,,2004,August,489,499
2003,June,110,961,,,,,,,,2004,September,392,540
2003,July,110,961,,,,,,,,2004,October,382,479
